text,sentiment
Meh. The first one was better.,neutral
So pretty! Came packaged very lovely and the chain wasn’t tangled at all!,positive
Normally this is a great product but this time something went terribly wrong. The sheets seemed to be stuck together from getting too hot during transport or something. Plus it did not weed like it normally does. I ended up wasting several sheets just trying to get it to weed properly. Very disappointed this time.,negative
My mom really likes these drops. She enjoys the flavors also. I also purchased them for a girl at work who's husband has cancer and is going through chemo again,positive
It’s just too pricy for me but they are very good for someone who hates water I was drinking the amount of water I should it’s to pricy for my budget,positive
Very durable yet light weight. Comfortable even when packed fully!,positive
"These things are a good size and good selection of colors, but ultimately they're useless if they don't stick. On a flat surface they're okay. However, I put three on a wall to run a string of coax up about three feet and, while they were initially all well-attached, within a few weeks they'd all fallen off the wall. That's one cable holder per foot of cable, which I'd thought was excessive but even then the weight proved too much for these. Anyhow, if you're running cables across the top of a desk or the like they'll probably do fine. And perhaps on a smooth vertical surface like metal they'd stick better, but short of that don't expect much.",negative
"This filter is shrink-wrapped when it's squashed down, so it doesn't arrive round. This isn't Amazon's fault... it is wrapped this way. It will take some time to get it bent back into shape so that it will mount onto the vacuum properly. Mine was folded so severely that the rubber seal was cracked on one side where it was bent. It still sealed OK.",neutral
I bought 2 pairs of these pants and they are great! Very comfortable and they fit very well in all the right places.,positive
great for intricate routing,positive
This was a total waste of money. The olive oil comes out in a stream not a mist.,negative
This product is great at attracting flies but the top piece to hang it from is a piece of crap. I ordered 3 of these and all three broke within hours of hanging them. I had to find a place to set it so it will attract the flies but not our dog!,neutral
"Replaced a normal overhead light switch with this product. It repeatedly kept failing every few days. I never could get Alexa to recognize it (I have many other switches from other companies with no problems). Sometimes it would stop working all together. Other times, it would not dim or brighten. I could get it to work (but not with Alexa) if I reset the switch, but then it would fail again in a few days. I didn't realize I only had a month window to return it, and when I finally got tired of resetting it, the window was closed. My bad. Won't be using this company again!",negative
"I got these to hold my cookbooks on the top of my fridge and they work great! Haven't had any issues, and the oak color will probably fit in with any kitchen that has light wood cabinets. They were smaller than I expected when I opened the package, but they've been holding up large cookbooks for months now and have been working fine",positive
Missing screw/washers 2 weeks later still waiting for part to assemble one of the chairs.,neutral
I actually really liked this watch until 1 month in it stopped working/charging. Missed the return day by 2 days. Very disappointed that I spent that much for a watch for one month.,negative
"This is so much more efficient and versatile than the mandoline it replaced. I can't believe I waited so long to buy this. Easy to assemble, easy to clean, and very good at slicing and julienne.",positive
The right shoe arrived with a nail embedded in the heel. I actually stuck myself when I tried the shoe on. The toe is a little tight for this to be an XW. But it is a good pair overall.,neutral
This book is perfect for those who are into this Freestyle 2018 Instant Pot Cookbook. I really enjoyed all recipes inside the book. this book is very easy and interesting Guide To Rapid Weight Loss Including Delicious. I recommend this book and would read.,positive
"The actual color is not as light as the photo. It's an indescribably ugly color actually. The fabric is on the lightweight side, but certainly serviceable. I bought these as extras--they are okay for that purpose.",neutral
I bought them for sleeping and they crinkle too much in my ear when I toss and turn. I have a pair with a nylon cord that doesn't do that - these have a plastic cord.,neutral
Difficult to type with front cover case. Super bulky,neutral
The signal was too weak with these extensions.,negative
"Works well for me, will update my review after using it for couple of more days",neutral
Enjoyed style of writing. Interesting read. This is actually the last book of a series. I plan to read previous books.,positive
"Great material but difficult to maneuver with one hand. You need both hands to open and close bag. If wearing it, cant place on your side hip and grab what you want with one hand",neutral
"The item has been one of my favorite. However, there is a missing item, no key tether feature. The product was packaged in plastic bag, which I am not sure if it is the correct package. I did a few research online and many buyers do get in signature paper packaging. Returning the product.",negative
Spring hurts your back,neutral
I ordered this for pictures and quickly realized the colors are way darker than the stock photo. My daughters have mustard yellow dresses and what looks yellow is bright orange in person.,negative
The fit is kind of awkward like its cut weird...but the printing is good quality and has held up to washes and hang drying.,neutral
"These are not kid gloves. No way, no how. If that's what you're looking for, keep looking. I know it says, ""Free Returns"" next to the price, but that's not true. The cost of shipping is deducted from the refund. That's definitely not free.",negative
"A nice design, with lots of reserve power. I like the digital power remaining meter.",positive
Only a couple of balloons worked and the ones that did work deflated super fast of water while in the bucket.,negative
Not of Swarovski quality,neutral
I like these! I think the fabric could be thicker - I’ll have to update when it’s wet but it seems a little thin. True to size and appropriate coverage regarding length. I’m three months pregnant so anything that isn’t too tight is appreciated. The color is exactly as described. My only complaint is I was expecting more of a thick material. I’m wondering if cellulite might show through when wet.,neutral
Not the normal size fitting was too small.,negative
The molds came very quickly and worked great. The soaps turned out beautifully. I am very pleased with the results.,positive
"Horrible product, cord tore on first use, didn’t charge watch all the way, made it hot to touch. More than likely ruined my watch battery. DO NOT PURCHASE!",negative
Poor garment quality. Returned item.,negative
Haven't used as yet.,neutral
"I like it. It fits my bathroom sink. The only problem I have w/ it is that, even after I have cleaned it, it makes the water drain slowly.",neutral
I purchased three of these at the mall and loved them. I needed one more so I purchased a few from here. WOW!!! What a let down of quality. I am disappointed in these vs the ones I got for 14.99 at the mall,neutral
Does not charge any faster than others!!,negative
This is well designed. I can exercise with no trouble while wearing it. It does help to relieve my knee pain.,positive
Numbers are so small it's nearly worthless.,negative
"Beautiful box, would buy again !",positive
"The material does not feel soft at all, there are a few loose ends, that I think will become undone in the wash. The print is cute, but not worth the scratchy itchy feeling for the price.",negative
this product kept connecting and disconnecting me from the wifi for months..thinking it was just the items we had connected to it but it was the router,negative
Trigger would jam and bind during use. Item was returned.,negative
Not as loud as expected. We wanted to use this at the ballpark however this is not loud enough. Wonderful for small enclosed areas but not good for large outdoor areas.,neutral
"The buttons are cute, but the product description needs to change. It says 650 pieces but the label on the jar says 400 pieces.",negative
I did not receive the trial size spray with my package.,negative
Great stand for my bike. I plan on ordering another.,positive
"Barely lasted, less than a year before the battery acids corroded out and it no longer works",negative
"It did not stop my snoring or help my sleep apnea. A waste of money.,",negative
I am very disappointed with the ribbons i received. They choice of ribbons I received are UGLY. I understand the choices are random but the colors and patterns I received are UGLY. I thought i would receive something more like what's in the picture. I am very disappointed. I wanted to use them to decorate gift boxes but I'd be pressed to find even a handful I could use.,negative
"My daughter really likes the design and colors on this product. It’s easy to hole and drink from. However, it seems to get too much air inside of it- tons of air bubbles. I also don’t like how water gets trapped between the bottle and the handles. If I had a you get child, I wouldn’t use it at all because of all of the air it takes in.",neutral
"The red is not as bright as pictured, more of cardinal color, still a nice jacket.",neutral
"The rug is beautiful, just as described. Unfortunately, the packaging was flimsy, and the corner of the doormat was bent and cracked due to the packaging becoming bent during shipping",neutral
Great quality. But size smaller than what ordered,neutral
Color is exact as shown haven’t tried it yet but feel is very soft,positive
I would have given this product 4 stars but mine has a hole in it along the side seem. I already washed it before discovering the hole. So I will give deal with it. I'm 5'2 and 135 pounds. I ordered a M. I have plenty of room. I could probably fit a small but I like my tops a little loose to hide the mom belly.,positive
"I wasn't sure about these when I got them, every earbud I have ever stuck in my ears never stays in but I gave them a try and I love them! Once they are in, they stay in. They are very easy to use and set up. The sound quality is great! I love using these to work out with and I'm excited to travel with them. They are much more discrete then my headphones.",positive
"Ordered 4, one was broken",neutral
KAF has some Great grooming products but this isn't one of them,negative
Really nice painting but not as vibrant and bold as I hought it would be..Has no texture..not as excited with this product,neutral
It works very well except I did not touch any mold on the vinyl. It need to be stronger to clean off road.,neutral
What you see is not what you get ... I ordered these because the picture depicts a high-quality chip. However another type of this chip was sent ... and easily returned.,negative
"It was away too big for my arm . Could not use at all. I contacted company directly by sending a message because I couldn't return through Amazon. However , I did not get any responses.",negative
Good product for under counter and inside cabinet lights,positive
"I bought this for my daughter and it would not sync to a device. The lights flash when you first set it up but then it never turns on or syncs. We called FitBit support and they confirmed something was wrong with the product, and offered to send us a replacement. The replacement was a different type of fitbit, bigger and clunkier and had the same issue. Upon doing some research online, the software version has known issues that do exactly what mine are. Now the return window has closed and I am stuck with 2 useless fitbits that no one can use. Super disappointed, don;t waste your $70.",negative
Very disappointed in this chair. It is very handsome. It seems to be goid quality vinyl. But the cushion has zero firmness. Sinks way down in the center making it very uncomfortable and difficult to get out of. If I had no back & knee issues it would be an okay chair. I tried their chair for tall heavy people thinking it may be firmer. The cushion is firmer but the chair massive and hard to position for me. This armless reception chair is a perfect fit except for the cushion.,neutral
"The product itself is good but I bought this as a gift for someone and it was packaged so badly (stuffed together with a bunch of other things) that when I received it the boxes were not presentable looking at all! Not sure if this is because of Amazon's packaging or just the way they were to begin with, but this is the first time I had an issue with Amazon's packaging!",neutral
The necklace looks exactly like the pic unfortunately it does not set well on the neck. I tried it on myself and my daughter but it would lay flat. It’s a pity I had to return it coz I loved the way it looked.,negative
I liked the value but not sure how strong the scent is. Haven’t used so don’t know if they live up to their 24 hour,neutral
"Pro - semi-easy installation - Black rubber feet for security - adjustable height to custom fit your bike - seems solid. The grab hole is made for oval shape or rectangular shape frame, and mine is a round shape pipe frame. I did tie down to the best I could but still see a good amount of space in between. But so far it has been solid and without slipping. Improvements - - the included wench is hard to use, slips out all the time. I have to use mine regular Allen wench.",positive
Still leaking which is why I replaced the original one.,neutral
Mask is too watered down to do any real work.,negative
"Worked well for almost 4 months, now it started lowering itself unexpectedly.",negative
Nice quality of sound but very quiet at max volume. Not really suited for listening unless you are in a small room,negative
Came just as pictured,positive
Bought this &had to return.,negative
Only able to wear 2 or 3 times before all socks lost shape and would not stay up.,negative
Fast delivery my daughter loves them!,positive
Not sure how I would know the absorbency but the children seem to like the taste,positive
I hate the product. Its constantly disconnected while listen to music. I couldn't enjoy it. I ordered twice because the first set will not connected and when it do in 2 minutes it will said power off and shut down completely. Therefore i ordered another one and i got the same result. I was very upset and requested a refund. I do not recommend the product. Not user friendly and hard to connect to Bluetooth.,negative
"Very nice, well made but too large to us.",neutral
I’ve only taken off once since I’ve purchased a few weeks ago. So easy to layer and wear. It’s feminine and intricate in its design and made well. Looking at other Ross-Simons bracelets now to layer with it because I like it so much!,positive
Good story with likable and flawed characters. Tried and true mother/ daughter conflict and finding a way back to each other.,positive
Inconsistent age description: Recommended for ages 2 and up here and Recommended age 4 months - 8 years there. Get it straight!,neutral
Usb cable broke in less than a year.,neutral
"Pros: Installation isn't that bad if you can clearly follow basic instructions, looks great, touch input is great. Cons: Started peeling up within a week, fingerprint sensor doesn't work as advertised. Emailed customer service, and they marked my ticket as ""resolved"" even though they didn't even reach out to me Would not buy again.",negative
The cups are good and sturdy. Great for my baby shower.,positive
Worked as advertised. Fast shipping. No problems.,positive
Works well will be buying again so that I can keep my filters clean.,positive
Not substantial enough for larger dogs 60+ pounds. Ok going up but a little wobbly going down which makes my dogs a bit uneasy.,neutral
Much smaller than expected. This is a travel size game. Make sure you know that before buying.,neutral
Cutting edges were burred and jagged after initial inspection.,negative
The softness is great....just too big,negative
"Don't recommend, it ripped right off my pants when I hopped in my car. Doesn't have any protection for top of case either.",neutral
Lots of good information as well as easy to follow recipes. If you are new to kidney disease this is a good book to help you learn about what's safe to eat. It includes different information for people on dialysis and those not yet,positive
"I was just thinking if I'll be able to learn it quickly. It arrived in the evening and I started to work with it this morning to record some videos. I Wasn't able to handle it perfectly at the start, but after some trys I was able to have better control over it. I am currently editing the video I recorded from it and will share it in some time.",positive
The indigo light does not work. When the light comes on the time Disappears.,neutral
"Flimsy, too small, very disappointing.",negative
"This product holds hair well. it is excellent if you have a sensitivity to most hair products. Most all shampoos, gels and hairsprays make my head itch. I have absolutely no itching since using all of the Free and Clear products. It was recommended to me by an Allergy Doctor.",positive
Completely stopped working!!!! Which is a complete waste of money! And I could not return it because it basically stopped working after the end of the return date! Do not buy!!,negative
"They may bio-degrade, but my sewer agency officially doesn't want these in the toilet. I went back to a cheaper bio-degradable option.",neutral
Had the wrong dvd inside the case,negative
Doesn’t seem to want to work well I have tried it on several different types of speed controls turns on,negative
Best cold mask for migraines I have purchased and I purchased two of them. Disappointed though; one seems to stay colder for longer than the other even though they are identical.,neutral
"I was expecting more about history, less about the authors faith.",neutral
"This is a great Idea, they are just a bit to small and I don’t have a big foot.",neutral
Very pretty but takes a long time to heat up.,neutral
"I ordered size 9. It is a bit big for me. Maybe 8.5 is about right, but there is no 8.5. My feet keeps sliding forward. I am not too happy about that. Would you? It will probably cost me more to return it, so I have to bite the bullet !!!!!!! It is a SAD situation, but true. The memory form is NOT IDEAL, BELIEVE ME. What can I say. Not happy with any purchase !!!!",neutral
Got an uneven amount of screws and spikes. Have tons of spikes left over with no screws. Very disappointing:(,neutral
Works well to display my grandfather's old trombone.,neutral
My cat doesn't like it,neutral
nothing special. its a gauge it works. simple as that.,neutral
Arrived on time in perfect condition.,positive
I purchased these as a healthy snack for our office and they were very much appreciated.,positive
"I loved the idea of this product, however the marker was incredibly hard to open in fact it was damaged once I was able to pry it open. Now it leaks when filled with water and my daughter wasn’t all that impressed she ended up just drawing on it with a regular marker then going back to her coloring pages maybe she’s not old enough for it yet.",negative
In picture it appears to work on most faucets. Not the case .. only on flat ones,negative
I was disappointed the crown doesn't light up.They look like eggs unless you are close up. If the crown lit up they'd be awesome!,neutral
"This screen protector sucked so bad. Waste of money. Disappointed. Screen doesnt even work, you have to press down hard.",negative
Waste of money it has a floral smell. Wouldn't recommend it. It stinks!,negative
Product stopped working after a month. Waste of money.,negative
"I use these to control a CO2 dispenser and LED lights for a fish tank, so when they fail to turn on/off according to their programmed schedule, I know about it (because stuff dies). I wish I would have purchased something a little-more expensive. These things periodically get into a state in which they fail to follow their schedule, at which point I'm required to re-register them (via the iOS application) to get them working. Overall, a huge pain. Would not recommend.",negative
I have been using this product for three weeks and no change. I use it once per day....no result. Three stars for the nice packaging. But thats about it.,neutral
"It covers up more than half of the silent button! Because of how the case cover is so close to the screen, it’s even hard to click things close to the edge because the case gets in the way. I don’t think this was made for iPhone 6. The whole thing fits just slightly off",negative
"The picture for the item does not accurately reflect what the product is. I did not read the text carefully to know that it was not the pillow, just the pillow cover.",neutral
The bar is way too long. The bar on one of them was bent. Overall very cheap quality.,negative
"It is not water resistant. If you accidentally spill liquid on it and don’t wipe it off immediately, then it absorbs in. But it is soft and comfortable. Just don’t use it as a water/spill deterrent.",neutral
Product is working well! Going to continue using.,positive
Little tight at the top but flattering. Very pretty,positive
"These are very good for the average person, colors lay down well have had no problems with breaking.",positive
"Smells terrible, I have not been able to use, it has been almost a month is on the patio..",negative
These did not work for me. They did not stay in my ears and would not charge in the charger while these were on the pods. I basically don’t even use these. Save ur money.,neutral
"Only went to June. Returned. If this is what you're looking for, btw, the product is VERY beautiful and luxurious.",negative
This stuff is amazing. Don't read any negative reviews. It's everything it's marketed to be.,positive
"These slippers look super comfy and I was excited to try them on, immediately something felt off it was painful on my right foot. The sole placement/lining is misaligned and there is a sharp edge that continually presses against the foot sole. I considered exchanging as maybe this pair was a flop but for the price I'd rather not risk it. Returning.",negative
"These are great for the price. I wish it would specify the sensitivity, though. I got a pretty faint positive at the same time as a more obvious positive on the Walmart generic for First Response, but I did start testing pretty early. If you wait until the day of the missed period, it probably would read pretty strong.",positive
It was awesome until it ripped itself apart,neutral
"A little overpriced, but aesthetically pleasing.",positive
"I know ours is a throw-away society now, but I'd hoped that this would last longer than 2 years! Actually a little less than than that. I thought I just needed a new battery, but the watch just stopped working (and at the original cost is not worth repairing). It was hard to set the time, so I never liked that; but it had a nice sporty look and looked nicer with clothes than those clunky black plastic sport watches.",neutral
"After about 6 months, I lost the copper part, since I have no sound at all. Before that, during the cold season, bell wasn't working most of the time. Very disappointed.",negative
"These juices are DELICIOUS, and I am glad I discovered them. Only problem with this ""variety"" pack is I got SIX of the plain Aloe Vera flavor, and only TWO each the other flavors! This included TWO sugar-free ones which I DID NOT want. Perhaps next time I will try ordering all one flavor.",positive
Received the product with a large tear in the bag and much of the treats inside had fallen out into the amazon packaging. I can not be sure of when this happened or what could have gotten into the bag so I won’t be using any of this to feed my fur babies,negative
I love the concept this product represents but it just didn’t deliver. We were able to get as good if not better cell reception when our iPhones we’re not connected to the device as when they were connected.,negative
"A great way to start new friends. A gift for my nephew, he liked it.",positive
This was way fatter than expected. Didn’t love it. The pictures were not quite correct.,negative
"After ten months of use the cart-hose connector broke off, I bought one for me and one for my sister, both of them same problem, I do not recommend this product.",negative
So far this is awesome. It rapid charged my phone in the same amount of time my wall charger charges my phone. The charger is about the same size as my phone but if it charges my phone right then that's better than a smaller size charger.,positive
"This is a flat flower, that only curves up depending on the size and shape of your sink. So this didn't work very well for my grandson. Also one thing to keep in mind is that after every bath you will need to find a way to dry this, either in the dryer or air drying unlike a plastic bath that you wouldn't need to deal with.",neutral
"I wanted to love this product. However, after leaving it on for the recommended amount of time (not exceeding) I was unable to 'peel off' the whole mask without great pain. It attached to all the fine little hairs and I suspect even to the skin on my face. I finally washed off all but my nose, chin, and forehead and was left with angry red marks on my cheeks and some scabbing. My recommendation, never ever put this on cheeks, neck, or anywhere that might be more tender than nose and chin.",negative
Everything was a advertised. Worked perfect for what I needed it for.,positive
"I bought the wire harness with the intent to make it work for my car. The wire harness was well made with good length wiring. All connectors were tight and no issues there. However, the harness was wired for a 5 prong relay but dipped with a 4 prong one. So, I have to replace it with the correct relay. This is not just a one off, I bought two harnesses and the second is the exact same as the first. I would recommend this harness for someone who is going to make changes to it instead of it being used as a plug and play harness.",negative
"Horrible product, as soon as I put it on my wrist the cheaply made braclet shattered! I would not recommend this to anyone!!!",negative
This is a fabulous story by Fiona Faris. The novel starts out with an arranged marriage of convenience and the characters soon develop and learn about each other's personality and nature. A great read! I had a hard time putting it down to get some work done in anticipation of the ending.,positive
I make elderberry syrup in my instant pot and it really helps keep sickness away as long as we take it once a day. Buy them BEFORE cold and flu season though because otherwise the price everywhere gets jacked up way too high. This stuff is like gold. I bought a few lbs and 2/3 of a cup makes like 40 oz of elderberry syrup. It should last me all winter.,positive
"Just love them. Cute. One came cracked, but I’m still giving 5 stars because I was easily able to super glue without anyone else being able to tell. Holds old medicine, batteries, and pens. Such a cute idea.",positive
Once you start you can't stop. Fun and challenging.,positive
Came damaged upon arrival. Packaging needs to be made stronger. Low quality plastic.,neutral
"It seems like there is no usb 3.0 hub manufacturer that can make one that doesn't stop working in a couple of months. This was no exception. Stopped working after a couple of months. At least with the power adapter attached, it serves as a charger.",negative
She is the we’re cute,positive
Ok watch. Seems accurate. Fell apart after weeks.,neutral
Looks more gray then white.,neutral
item was poorly packaged. I bought 2 jars of olives. One was fine but the other arrived with a damaged top and all the juice ran out and the entire packaged was soaked with olive juice. I am told this cant be repaced,negative
Great party favor! Great packaging! Worth the money! Kids loved it!,positive
"I've always loved wolves and this novel just solidified that love. It also gave me a deeper understanding of them and some of the controversy surrounding their reintroduction. This is a must read for wolf lovers, really.",positive
Block is too hard. I can't break apart. Won't order again,neutral
I would order a half size up.,positive
Well made. Had been looking for an easel since my kids love to draw and glad I went with this one.,positive
"I’ve had this product for 3 days now and I’ve noticed a few things: 1. The smell is INCREDIBLE. Honestly, I’d use it for that reason alone 2. The texture is different than normal lotions. It’s kind of sticky(?) but doesn’t feel that way on your skin 3. It’s super hydrating and does just fine under makeup. 4. I know I already said this but it smells intoxicating. Hope this helps :)",positive
"I like to travel with a yellow umbrella, so my family can easily find me, should we part ways. I was happy with this purchase until its third use, when the protective tip of a spoke came off, converting the umbrella into a weapon in a crowd. Without the protective tip on the spoke, the fabric on that spoke is no longer held in place. This umbrella is a bit heavier than my other umbrellas of comparable size when opened, but not a deal killer.",neutral
This is a really nice belt. Good product,positive
"I was not given the correct product...Would prefer to have what I paid for instead of what looks like an accident. I see that there is no return policy, however, I need to either be refunded or given the correct products. Will update the review if issue is corrected",negative
I'm sure it's great but I would have to be 3X bigger to wear it. Pay attention to the length listed. Expect it to be on the longer end of the spectrum.,neutral
Bought for magnification purposes … WAY better quality vision in these two than many others ! Excellent offer !,positive
sharp edges are too centered,negative
"Perfect--they saved my old Oakley's. A little hard to slide onto the bows, but once I got them on the glasses look and feel like new.",positive
"While in portrait orientation, this does a fine job at holding onto your phone. However, when in landscape, the phone falls before I can even let go of it. Disappointing.",negative
Phone holder was smaller than the Samsung J3. Belt clip broke after only 4 months.,negative
Very good case. It looks nice and it's not bulky.,positive
I like this shirt but to large,neutral
"I have ordered the same towels more than once using the reorder now option expecting the same towels, but I received different towels. The quality is good and the towels feel nice, but I would have prefered matching towels.",neutral
These pads are thin and fall apart leaving bits of cotton in my eyes.,negative
I'm not sure they are the best wipers.,positive
It's ok for what it is ...I would expect any long term use out of it,neutral
I love the look the handle is not comfortable it's cheap metal In the liner lock stops working,negative
"They fit perfectly. Odor free,as hoped for. Only not quite as flexible as rubber gloves.",positive
"The blue tooth cuts out if anything comes between it and my phone. So if in pocket, it skips like crazy..",negative
The picture shows that these have the built in mittens but the ones I received do not have that. The material is okay but doesn't seem to be as good of a quality of the Carter's clothes you would normally find in the stores. The color is exactly as shown in the picture and they seem to be true to size.,neutral
"Sounded nice, but the left ear bud stopped working a few day after purchase",neutral
"Bigger than I expected. I have carried 3 different rabbits in it, probably 5 different times and the Velcro is already losing it's firm hold. Despite the lack of firm grip of Velcro it's worked quite well!",positive
Very uncomfortable while sleeping. Really hard and my gums where sore.,negative
Nice poster on thick stock delivered in strong cardboard tube in perfect condition,positive
Very easy to install and got my washer working quickly.,positive
I'm a foster parent for shelter kittens and need lots of toys for them to play with. This was a great selection at a good price.,positive
The length of the dress the fit was just what I was looking for. I use this for my womb healing sessions I do and I like it because it covers up everything.,positive
Nice hold. It gives a nice glossy look. However it cannot be combed or brushed out. You definitely have to wash it out. It leaves your hair hard as rocks. For the price I would not repurchase.,neutral
"More of a personal-sized fan. Placed it on the windowsill by the kitchen sink. Does not move a lot of air, but it does provide a slight breeze.",neutral
I bought this to spice things up. It worked once and stopped. Try something else ladies.,negative
Very thin and flimsy fabric,neutral
"It was great at first, but then the bottom two drawers would jam when opening and closing. They stopped sitting on the slides properly and now I need to lift the drawers from the back to get them to open and close properly",negative
I thought this would be a great idea for a gift. But I had difficulty reading my inspirational quote engraved on the front. There was no color contrast to highlight it. The pictures were also difficult to see through the snow globe. I would not purchase another one.,neutral
First one showed broken second one looks great,neutral
I didn't even think I'd be able find this type of ink anymore! So glad I did. Plus 2 rolls for great price!,positive
"These pants are awesome. They protect your legs very well for welding. If you use your knees for low level welding, brick work, tiling, carpets or roofing, your knees will wear out before these pants do.",positive
These shorts are way longer than I expected. They do not fit like Nike spandex 3” inseam shorts. I measured these and it is definitely 5” inseam.,negative
"When this wig came, it looked like Snow White had a rough night. But, after looking at a few Youtube videos on how to fix cheap wigs, it came out great! Set your curling iron on the lowest setting, section off small rows of hair and gently brush and curl each section. After I fixed the wig, it looked like an expensive one. My daughter received many compliments on her wig on Halloween!",positive
Good water bottle. But dropped it once and now the lid leaks .,negative
Nice cover. Don't need to open it to answer the phone,positive
Mostly wanted this for dicing. Didn't really meet my expectations. Onions/Peppers are impossible to dice with this. I'll have to mess with it more but doesn't really warrant the price. I wouldn't suggest this. I wished I had gotten a regular counter top food processor over this.,negative
"I really like the design of this charger (mostly because I can still use/look at my phone while it's charging at night, if I have to. However, there are little things that are very annoying. One is that the blue light that shows you your phone is being charged is quite bright and annoying. I've seen another reviewer say they covered it with tape, but it's still a ""problem"" that people should be aware of. Next, there is an issue with it consistently charging my phone. I have an X in a case and my girlfriend has an 8 in a case (both cases are compatible), but we have to set our phones down on it a certain way or they won't charge. Again, this isn't a huge deal, but when your product only has one thing it's supposed to do and it sometimes doesn't even do that, then it's worth mentioning.",neutral
... Can't wait for the next series- please ! .... Well written - with many unexpected twists in the tales !,positive
These are really comfortable pants. I enjoy wearing them! I will definitely be buying them again!,positive
"The chair is pretty comfortable and the reclining position with footrest is great. However, when the chair is locked in the upright position, it still reclines backward like 6-8 inches when you lean into it. Not good for prolonged use at a desk. All the screws are tightened so it must be a design flaw.",negative
This is the GREATEST tool ever!!! If you plan on doing any ball joints buy this tool. Do not try to do it without this!! Trust me I tried and failed this tool is a lifesaver. Always have the right tool for the job!!!,positive
You can tell an immediate difference. Little more clarity focus and energy to do stuff.,positive
Overpriced and quite dull... The toy does nothing and the color we received was so unattractive...,negative
Never had a mixer before and had to learn how to use it. Really did a job.,neutral
2/3 went bad after two months.,neutral
"Quick shipping, great product.",positive
Gift for my brother. Loved it!,positive
"This spray is a better corrector than a professional trainer, to be honest. Having 2 untrained cats I am glad to have found this spray as it helps any unwanted behavior instantly and avoids any problems.",positive
No time display and not exactly what I wanted,negative
Received this today and opened the luggage to find the strap not properly sewn in. Unfortunately I cannot return it as this is needed for a trip tomorrow and I dont have any other luggage available.,negative
I ordered these pillows and they arrived promptly. The packaging was great and clean and I was able to use them right away. They stay pretty fluffy but might be too soft for some people.,positive
"A lot flimsier than I cared for, but what are your options?",neutral
"Cute imitation, but I don’t think it will last long. A bit bulky too.",neutral
"Was nice while it lasted, but suction cup started failing a couple months after purchase, and the 3rd time the clock fell the screen cracked and the LCD broke.",negative
We are upset with this supplier as the package never arrived.,negative
I really liked this at first. It will not stay on the wall.,neutral
"This was so great for my son, but after a months use the vivid coloring has dimmed and it's hard to see the picture in a dark bedroom now. Son would like another one but I don't want to spend that money on another one that will do the same thing. I wouldn't recommend spending the money on this if you want it to last longer than a month.",neutral
It’s one of the few suitcases without a zipper. If you think you need a zipper either buy a bigger suitcase or carry less (same thing with your clothes).The zipper is the most repaired item on the suitcase.,positive
"This is such a nice candle!! The scent is clean and light but pure too. It comes in a box that can easily be used to gift in. Love the look of the box and candle but of course, the most important part, the scent is amazing!!!! I definitely recommend. Great gift for yourself ( or someone else ) 🙈. Great buy.",positive
It help me allot i'm real happy with it.,positive
As noted in at least one other review product arrived with no top. When I have purchased this product in a pet store it has always had a top on it. This is my favorite aroma of the other colognes in this product line; last only a day or so which is disappointing.,positive
My toddler loves it but it doesn’t have special features like the other vehicles.,positive
love the comfort of it but too bulky to carry,neutral
This product is terrific for rolling your muscles. However there are much better options for trigger point therapy. The straight stick and knobs are not practical for typical trigger point therapy.,neutral
I think this relieves the pain somewhat. Maybe I need to try the stronger version,neutral
"At first I was pretty excited about these headsets, but they have sorely disappointed in every single field including but not limited to audio quality, wireless connectivity, and battery life. Headset is aesthetically pleasing, fits great around my head and ergonomically very comforting. These would be great qualities if the audio itself wasn't poor. The sound keeps cutting off if playing at loud volumes (even though the headset itself even at max volume isn't very loud). Wireless range is maximum of 10 feet, can't even go to my living room without the audio starting to chop. Missing media buttons, but I guess that's not a con since it wasn't really advertised as so, but still huge oversight. Overall quite disappointed.",neutral
Terrible product. It breaks as soon as you open and they delivered the wrong model,negative
I order a gray and got a rose color. It runs large in a ll respects.,negative
"I put it together. But there were multiple things missing. And the hamster wheel is WAY too small for my hamster. She’s not even that big. For the missing parts I improvised, and 2 of the tubes didn’t reach each other on the top, so I glued them together that way they would at least touch, and stay together.",neutral
"Be sure to research. This item Does Not Fit 2006 H3 Hummer. I did a search for item, and Hummer H3 is listed, but it does not fit and I can not return it. When I called ACDelco Customer service, and pressed Zero to speak to person, it hangs up. lol. Good luck.",negative
At first it worked perfectly. Then it started taking a little while to connect after I plugged it in. And now it either can't be recognized by my laptop or does get recognized but doesn't actually turn on.,neutral
Bought this thing a year ago and finally installed it today. VERY easy installation. Very bright. Almost too bright. My daughter was chasing my dog and ran out in front of my truck when I was testing the lights. My daughter's hair got singed and the dog keeps running into things. I think he's permanently blind. Very good price too.,positive
"Product fit like it was made for A child, not A grown up!",negative
"Great watch for the price. I give it 4 stars because the chronometer ""reset"" button stopped working after replacing the battery (after many years of usage). Overall I'm very happy with this watch.",positive
"I really loved the look of this case and my previous spigen cases have been great, but this one developed a crack from the slit for the credit card to the case within a week of getting it.",negative
"I bought this for my elderly parents, they have a large house and wanted a security camera so they could tell when someone came to the front door by their porch. It's easy to conceal and provides a great picture in daytime. I used the app to set up the motion sensor for them so they know when someone arrives. If you add an SD card, you can loop the video, too. When it arrived, i was a little intimidated by all the parts, but set-up was easy.",positive
